Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,,,,30/03/2013,$110K - $130K,1,6,7063,7079
,,,,,,30/03/2013 Total,,1,6,7063,7079
,,,,,,01/04/2013,$50K - $70K,1,3,4579,7131
,,,,,,01/04/2013 Total,,1,3,4579,7131
,,,,,,07/04/2013,$10K - $30K,1,2,1259,7277
,,,,,,07/04/2013 Total,,1,2,1259,7277
,,,,,,09/04/2013,$150K +,1,5,564,7355
,,,,,,09/04/2013 Total,,1,5,564,7355
,,,,,,10/04/2013,$10K - $30K,1,5,9644,7382
,,,,,,10/04/2013 Total,,1,5,9644,7382
,,,,,,17/05/2013,$10K - $30K,1,2,1787,8367
,,,,,,17/05/2013 Total,,1,2,1787,8367
,,,,,,05/06/2013,$30K - $50K,1,3,2023,8900
,,,,,,05/06/2013 Total,,1,3,2023,8900
,,,,,,15/06/2013,$30K - $50K,1,2,1871,9165
,,,,,,15/06/2013 Total,,1,2,1871,9165
,,,,,,27/06/2013,$150K +,1,3,564,9486
,,,,,,27/06/2013 Total,,1,3,564,9486
,,,,,,31/07/2013,$30K - $50K,1,3,2023,10424
,,,,,,31/07/2013 Total,,1,3,2023,10424
,,,,,,12/08/2013,$70K - $90K,1,3,8169,10755
,,,,,,12/08/2013 Total,,1,3,8169,10755
,,,,,,01/10/2013,$70K - $90K,1,3,9868,12093
,,,,,,01/10/2013 Total,,1,3,9868,12093
,,,,,,06/10/2013,$10K - $30K,1,6,1787,12223
,,,,,,06/10/2013 Total,,1,6,1787,12223
,,,,,,16/10/2013,$70K - $90K,1,4,7977,12481
,,,,,,16/10/2013 Total,,1,4,7977,12481
,,,,,Mexico Total,,,16,56,65242,142362
,,,,Zacatecas Total,,,,16,56,65242,142362
,,,Hidalgo Total,,,,,16,56,65242,142362
,,,Los Angeles,CA,USA,25/11/2012,$30K - $50K,1,4,5690,4112
,,,,,,25/11/2012 Total,,1,4,5690,4112
,,,,,,25/12/2012,$30K - $50K,1,3,4422,4586
,,,,,,25/12/2012 Total,,1,3,4422,4586
,,,,,,27/01/2013,$30K - $50K,1,5,8190,5366
,,,,,,27/01/2013 Total,,1,5,8190,5366
,,,,,,17/07/2013,$50K - $70K,1,6,3503,10060
,,,,,,17/07/2013 Total,,1,6,3503,10060
,,,,,USA Total,,,4,18,21805,24124
,,,,CA Total,,,,4,18,21805,24124
,,,Los Angeles Total,,,,,4,18,21805,24124
,,,Merida,Yucatan,Mexico,07/03/2013,$130K - $150K,1,4,8775,6469
,,,,,,07/03/2013 Total,,1,4,8775,6469
,,,,,,04/07/2013,$30K - $50K,1,5,5481,9673
,,,,,,04/07/2013 Total,,1,5,5481,9673
,,,,,,07/07/2013,$50K - $70K,1,4,896,9771
,,,,,,07/07/2013 Total,,1,4,896,9771
,,,,,,23/09/2013,$30K - $50K,1,3,5481,11870
,,,,,,23/09/2013 Total,,1,3,5481,11870
,,,,,,06/10/2013,$30K - $50K,1,5,9249,12227
,,,,,,06/10/2013 Total,,1,5,9249,12227
,,,,,,13/10/2013,$10K - $30K,1,3,8087,12407
,,,,,,13/10/2013 Total,,1,3,8087,12407
,,,,,,04/11/2013,$10K - $30K,1,4,7356,13037
,,,,,,04/11/2013 Total,,1,4,7356,13037
,,,,,,06/11/2013,$30K - $50K,1,5,3753,13084
,,,,,,06/11/2013 Total,,1,5,3753,13084
,,,,,,27/11/2013,$10K - $30K,1,2,4761,13655
,,,,,,27/11/2013 Total,,1,2,4761,13655
,,,,,Mexico Total,,,9,35,53839,102193
,,,,Yucatan Total,,,,9,35,53839,102193
,,,Merida Total,,,,,9,35,53839,102193
,,,Mexico City,DF,Mexico,16/01/2013,$30K - $50K,1,5,3978,5107
,,,,,,16/01/2013 Total,,1,5,3978,5107
,,,,,,13/08/2013,$30K - $50K,1,4,2802,10772
,,,,,,13/08/2013 Total,,1,4,2802,10772
,,,,,,24/10/2013,$10K - $30K,1,3,5716,12728
,,,,,,24/10/2013 Total,,1,3,5716,12728
,,,,,Mexico Total,,,3,12,12496,28607
,,,,DF Total,,,,3,12,12496,28607
,,,Mexico City Total,,,,,3,12,12496,28607
,,,Orizaba,Veracruz,Mexico,14/03/2013,$70K - $90K,1,4,4198,6660
,,,,,,14/03/2013 Total,,1,4,4198,6660
,,,,,,15/09/2013,$10K - $30K,1,4,9037,11635
,,,,,,15/09/2013 Total,,1,4,9037,11635
,,,,,,06/10/2013,$70K - $90K,1,3,4198,12214
,,,,,,06/10/2013 Total,,1,3,4198,12214
,,,,,,13/10/2013,$10K - $30K,1,2,9037,12409
,,,,,,13/10/2013 Total,,1,2,9037,12409
,,,,,Mexico Total,,,4,13,26470,42918
,,,,Veracruz Total,,,,4,13,26470,42918
,,,Orizaba Total,,,,,4,13,26470,42918
,,,Portland,OR,USA,26/01/2012,$70K - $90K,1,2,1387,228
,,,,,,26/01/2012 Total,,1,2,1387,228
,,,,,,17/03/2012,$50K - $70K,1,6,2846,876
,,,,,,17/03/2012 Total,,1,6,2846,876
,,,,,,20/03/2012,$30K - $50K,1,5,9115,936
,,,,,,20/03/2012 Total,,1,5,9115,936
,,,,,,08/09/2012,$70K - $90K,1,4,1042,3130
,,,,,,08/09/2012 Total,,1,4,1042,3130
,,,,,,13/12/2012,$30K - $50K,1,5,8555,4386
,,,,,,13/12/2012 Total,,1,5,8555,4386
,,,,,,23/02/2013,$70K - $90K,1,3,4707,6144
,,,,,,23/02/2013 Total,,1,3,4707,6144
,,,,,,03/05/2013,$130K - $150K,1,4,4584,7989
,,,,,,03/05/2013 Total,,1,4,4584,7989
,,,,,,22/10/2013,$30K - $50K,1,4,7209,12670
,,,,,,22/10/2013 Total,,1,4,7209,12670
,,,,,USA Total,,,8,33,39445,36359
,,,,OR Total,,,,8,33,39445,36359
,,,Portland Total,,,,,8,33,39445,36359
,,,Salem,OR,USA,15/01/2012,$130K - $150K,1,3,4396,117
,,,,,,15/01/2012 Total,,1,3,4396,117
,,,,,,04/05/2012,$30K - $50K,1,3,8467,1573
,,,,,,04/05/2012 Total,,1,3,8467,1573
,,,,,,24/05/2012,$50K - $70K,1,5,4410,1844
,,,,,,24/05/2012 Total,,1,5,4410,1844
,,,,,,23/08/2012,$30K - $50K,1,3,9256,2947
,,,,,,23/08/2012 Total,,1,3,9256,2947
,,,,,,08/11/2012,$30K - $50K,1,6,9256,3890
,,,,,,08/11/2012 Total,,1,6,9256,3890
,,,,,,11/11/2012,$50K - $70K,1,2,7641,3914
,,,,,,11/11/2012 Total,,1,2,7641,3914
,,,,,,17/04/2013,$30K - $50K,1,3,4583,7533
,,,,,,17/04/2013 Total,,1,3,4583,7533
,,,,,,26/04/2013,$10K - $30K,1,4,4543,7791
,,,,,,26/04/2013 Total,,1,4,4543,7791
,,,,,,24/05/2013,$90K - $110K,1,4,644,8581
,,,,,,24/05/2013 Total,,1,4,644,8581
,,,,,,13/09/2013,$70K - $90K,1,6,1681,11583
,,,,,,13/09/2013 Total,,1,6,1681,11583
,,,,,USA Total,,,10,39,54877,49773
,,,,OR Total,,,,10,39,54877,49773
,,,Salem Total,,,,,10,39,54877,49773
,,,San Andres,DF,Mexico,06/02/2013,$10K - $30K,1,5,1939,5663
,,,,,,06/02/2013 Total,,1,5,1939,5663
,,,,,,05/09/2013,$30K - $50K,1,2,2450,11374
,,,,,,05/09/2013 Total,,1,2,2450,11374
,,,,,,25/11/2013,$50K - $70K,1,5,6931,13593
,,,,,,25/11/2013 Total,,1,5,6931,13593
,,,,,Mexico Total,,,3,12,11320,30630
,,,,DF Total,,,,3,12,11320,30630
,,,San Andres Total,,,,,3,12,11320,30630
,,,San Diego,CA,USA,25/01/2012,$70K - $90K,1,4,8342,216
,,,,,,25/01/2012 Total,,1,4,8342,216
,,,,,,04/05/2012,$10K - $30K,1,5,3935,1588
,,,,,,04/05/2012 Total,,1,5,3935,1588
,,,,,,19/11/2012,$70K - $90K,1,3,10021,4033
,,,,,,19/11/2012 Total,,1,3,10021,4033
,,,,,,04/03/2013,$10K - $30K,1,3,2512,6390
,,,,,,04/03/2013 Total,,1,3,2512,6390
,,,,,,03/05/2013,$30K - $50K,1,3,8083,7998
,,,,,,03/05/2013 Total,,1,3,8083,7998
,,,,,,08/05/2013,$50K - $70K,1,5,7519,8133
,,,,,,08/05/2013 Total,,1,5,7519,8133
,,,,,,21/06/2013,$10K - $30K,1,3,8993,9325
,,,,,,21/06/2013 Total,,1,3,8993,9325
,,,,,,30/11/2013,$10K - $30K,1,5,2502,13719
,,,,,,30/11/2013 Total,,1,5,2502,13719
,,,,,USA Total,,,8,31,51907,51402
,,,,CA Total,,,,8,31,51907,51402
,,,San Diego Total,,,,,8,31,51907,51402
,,,San Francisco,CA,USA,01/09/2012,$70K - $90K,1,1,8441,3050
,,,,,,01/09/2012 Total,,1,1,8441,3050
,,,,,,15/09/2012,$30K - $50K,1,2,9652,3216
,,,,,,15/09/2012 Total,,1,2,9652,3216
,,,,,USA Total,,,2,3,18093,6266
,,,,CA Total,,,,2,3,18093,6266
,,,San Francisco Total,,,,,2,3,18093,6266
,,,Seattle,WA,USA,06/03/2012,$30K - $50K,1,3,9473,717
,,,,,,06/03/2012 Total,,1,3,9473,717
,,,,,,18/03/2012,$10K - $30K,1,3,1370,898
,,,,,,18/03/2012 Total,,1,3,1370,898
,,,,,,03/04/2012,$10K - $30K,1,2,7432,1142
,,,,,,03/04/2012 Total,,1,2,7432,1142
,,,,,,08/05/2012,$10K - $30K,1,4,3011,1643
,,,,,,08/05/2012 Total,,1,4,3011,1643
,,,,,,10/09/2013,$30K - $50K,1,3,7494,11501
,,,,,,10/09/2013 Total,,1,3,7494,11501
,,,,,,01/11/2013,$10K - $30K,1,5,3989,12956
,,,,,,01/11/2013 Total,,1,5,3989,12956
,,,,,,13/11/2013,$30K - $50K,1,5,1921,13315
,,,,,,13/11/2013 Total,,1,5,1921,13315
,,,,,USA Total,,,7,25,34690,42172
,,,,WA Total,,,,7,25,34690,42172
,,,Seattle Total,,,,,7,25,34690,42172
,,,Spokane,WA,USA,28/05/2012,$70K - $90K,1,5,976,1885
,,,,,,28/05/2012 Total,,1,5,976,1885
,,,,,,15/06/2012,$70K - $90K,1,2,2587,2092
,,,,,,15/06/2012 Total,,1,2,2587,2092
,,,,,,16/07/2012,$130K - $150K,1,3,4175,2475
,,,,,,16/07/2012 Total,,1,3,4175,2475
,,,,,,08/10/2012,$70K - $90K,1,4,2587,3504
,,,,,,08/10/2012 Total,,1,4,2587,3504
,,,,,,10/10/2012,$130K - $150K,1,4,1491,3529
,,,,,,10/10/2012 Total,,1,4,1491,3529
,,,,,,23/11/2012,$70K - $90K,1,3,8511,4087
,,,,,,23/11/2012 Total,,1,3,8511,4087
,,,,,,13/02/2013,$130K - $150K,1,4,4175,5862
,,,,,,13/02/2013 Total,,1,4,4175,5862
,,,,,,14/03/2013,$30K - $50K,1,4,10173,6654
,,,,,,14/03/2013 Total,,1,4,10173,6654
,,,,,,21/03/2013,$30K - $50K,1,5,7051,6822
,,,,,,21/03/2013 Total,,1,5,7051,6822
,,,,,,18/09/2013,$130K - $150K,1,5,4868,11720
,,,,,,18/09/2013 Total,,1,5,4868,11720
,,,,,,12/12/2013,$50K - $70K,1,5,9797,13926
,,,,,,12/12/2013 Total,,1,5,9797,13926
,,,,,USA Total,,,11,44,56391,62556
,,,,WA Total,,,,11,44,56391,62556
,,,Spokane Total,,,,,11,44,56391,62556
,,,Tacoma,WA,USA,27/03/2012,$110K - $130K,1,5,7065,1029
,,,,,,27/03/2012 Total,,1,5,7065,1029
,,,,,,17/04/2012,$30K - $50K,1,5,8074,1338
,,,,,,17/04/2012 Total,,1,5,8074,1338
,,,,,,23/11/2012,$10K - $30K,1,4,6866,4091
,,,,,,23/11/2012 Total,,1,4,6866,4091
,,,,,,16/12/2012,$70K - $90K,1,6,6313,4441
,,,,,,16/12/2012 Total,,1,6,6313,4441
,,,,,,05/02/2013,$30K - $50K,1,5,1965,5647
,,,,,,05/02/2013 Total,,1,5,1965,5647
,,,,,,26/03/2013,$10K - $30K,1,3,5341,6970
,,,,,,26/03/2013 Total,,1,3,5341,6970
,,,,,,14/05/2013,$30K - $50K,1,3,2084,8296
,,,,,,14/05/2013 Total,,1,3,2084,8296
,,,,,USA Total,,,7,31,37708,31812
,,,,WA Total,,,,7,31,37708,31812
,,,Tacoma Total,,,,,7,31,37708,31812
,,,Vancouver,BC,Canada,13/02/2013,$110K - $130K,1,4,8105,5867
,,,,,,13/02/2013 Total,,1,4,8105,5867
,,,,,,14/03/2013,$50K - $70K,1,2,6693,6665
,,,,,,14/03/2013 Total,,1,2,6693,6665
,,,,,,14/05/2013,$10K - $30K,1,3,4216,8289
,,,,,,14/05/2013 Total,,1,3,4216,8289
,,,,,,29/07/2013,$10K - $30K,1,3,8293,10377
,,,,,,29/07/2013 Total,,1,3,8293,10377
,,,,,Canada Total,,,4,12,27307,31198
,,,,BC Total,,,,4,12,27307,31198
,,,Vancouver Total,,,,,4,12,27307,31198
,,,Yakima,WA,USA,16/07/2012,$10K - $30K,1,3,4719,2471
,,,,,,16/07/2012 Total,,1,3,4719,2471
,,,,,USA Total,,,1,3,4719,2471
,,,,WA Total,,,,1,3,4719,2471
,,,Yakima Total,,,,,1,3,4719,2471
,,M Total,,,,,,118,445,622545,818886
,,S,Acapulco,Guerrero,Mexico,05/02/2013,$50K - $70K,1,4,5078,5648
,,,,,,05/02/2013 Total,,1,4,5078,5648
,,,,,,31/03/2013,$50K - $70K,1,4,8704,7109
,,,,,,31/03/2013 Total,,1,4,8704,7109
,,,,,,10/04/2013,$30K - $50K,1,3,4878,7361
,,,,,,10/04/2013 Total,,1,3,4878,7361
,,,,,,29/09/2013,$10K - $30K,1,5,1894,12049
,,,,,,29/09/2013 Total,,1,5,1894,12049
,,,,,,13/10/2013,$30K - $50K,1,4,5578,12404
,,,,,,13/10/2013 Total,,1,4,5578,12404
,,,,,,26/10/2013,$30K - $50K,1,5,1805,12775
,,,,,,26/10/2013 Total,,1,5,1805,12775
,,,,,Mexico Total,,,6,25,27937,57346
,,,,Guerrero Total,,,,6,25,27937,57346
,,,Acapulco Total,,,,,6,25,27937,57346
,,,Bellingham,WA,USA,21/07/2012,$10K - $30K,1,4,4730,2537
,,,,,,21/07/2012 Total,,1,4,4730,2537
,,,,,,27/07/2012,$70K - $90K,1,3,9351,2607
,,,,,,27/07/2012 Total,,1,3,9351,2607
,,,,,,26/09/2012,$150K +,1,2,7438,3333
,,,,,,26/09/2012 Total,,1,2,7438,3333
,,,,,,04/11/2012,$90K - $110K,1,4,4018,3824
,,,,,,04/11/2012 Total,,1,4,4018,3824
,,,,,USA Total,,,4,13,25537,12301
,,,,WA Total,,,,4,13,25537,12301
,,,Bellingham Total,,,,,4,13,25537,12301
,,,Beverly Hills,CA,USA,28/12/2012,$10K - $30K,1,4,4438,4655
,,,,,,28/12/2012 Total,,1,4,4438,4655
,,,,,,27/04/2013,$30K - $50K,1,5,3292,7812
,,,,,,27/04/2013 Total,,1,5,3292,7812
,,,,,,18/05/2013,$130K - $150K,1,5,7206,8400
,,,,,,18/05/2013 Total,,1,5,7206,8400
,,,,,,17/09/2013,$110K - $130K,1,3,3701,11696
,,,,,,17/09/2013 Total,,1,3,3701,11696
,,,,,,20/09/2013,$50K - $70K,1,3,4188,11762
,,,,,,20/09/2013 Total,,1,3,4188,11762
,,,,,USA Total,,,5,20,22825,44325
,,,,CA Total,,,,5,20,22825,44325
,,,Beverly Hills Total,,,,,5,20,22825,44325
,,,Bremerton,WA,USA,07/01/2012,$150K +,1,5,760,67
,,,,,,07/01/2012 Total,,1,5,760,67
,,,,,,27/01/2012,$130K - $150K,1,3,10240,235
,,,,,,27/01/2012 Total,,1,3,10240,235
,,,,,,29/11/2012,$130K - $150K,1,4,4065,4171
,,,,,,29/11/2012 Total,,1,4,4065,4171
,,,,,USA Total,,,3,12,15065,4473
,,,,WA Total,,,,3,12,15065,4473
,,,Bremerton Total,,,,,3,12,15065,4473
,,,Camacho,Zacatecas,Mexico,05/02/2013,$110K - $130K,1,6,286,5638
,,,,,,05/02/2013 Total,,1,6,286,5638
,,,,,,09/02/2013,$50K - $70K,1,6,8405,5742
,,,,,,09/02/2013 Total,,1,6,8405,5742
,,,,,,21/06/2013,$50K - $70K,1,3,4932,9347
,,,,,,21/06/2013 Total,,1,3,4932,9347
,,,,,,07/07/2013,$50K - $70K,1,3,1726,9770
,,,,,,07/07/2013 Total,,1,3,1726,9770
,,,,,Mexico Total,,,4,18,15349,30497
,,,,Zacatecas Total,,,,4,18,15349,30497
,,,Camacho Total,,,,,4,18,15349,30497
,,,Guadalajara,Jalisco,Mexico,15/07/2013,$10K - $30K,1,2,3399,9994
,,,,,,15/07/2013 Total,,1,2,3399,9994
,,,,,Mexico Total,,,1,2,3399,9994
,,,,Jalisco Total,,,,1,2,3399,9994
,,,Guadalajara Total,,,,,1,2,3399,9994
,,,Hidalgo,Zacatecas,Mexico,27/02/2013,$50K - $70K,1,4,1972,6254
,,,,,,27/02/2013 Total,,1,4,1972,6254
,,,,,,20/05/2013,$10K - $30K,1,5,5348,8467
,,,,,,20/05/2013 Total,,1,5,5348,8467
,,,,,,29/06/2013,$70K - $90K,1,4,6934,9549
,,,,,,29/06/2013 Total,,1,4,6934,9549
,,,,,,27/07/2013,$10K - $30K,1,4,9097,10338
,,,,,,27/07/2013 Total,,1,4,9097,10338
,,,,,,10/08/2013,$30K - $50K,1,3,7016,10698
,,,,,,10/08/2013 Total,,1,3,7016,10698
,,,,,,22/11/2013,$10K - $30K,1,4,1853,13532
,,,,,,22/11/2013 Total,,1,4,1853,13532
,,,,,Mexico Total,,,6,24,32220,58838
,,,,Zacatecas Total,,,,6,24,32220,58838
,,,Hidalgo Total,,,,,6,24,32220,58838
,,,Los Angeles,CA,USA,30/08/2012,$10K - $30K,1,4,5587,3021
,,,,,,30/08/2012 Total,,1,4,5587,3021
,,,,,,04/01/2013,$30K - $50K,1,3,191,4799
,,,,,,04/01/2013 Total,,1,3,191,4799
,,,,,,07/06/2013,$10K - $30K,1,2,803,8954
,,,,,,07/06/2013 Total,,1,2,803,8954
,,,,,,16/06/2013,$50K - $70K,1,4,9516,9207
,,,,,,16/06/2013 Total,,1,4,9516,9207
,,,,,,13/07/2013,$70K - $90K,1,5,6254,9934
,,,,,,13/07/2013 Total,,1,5,6254,9934
,,,,,USA Total,,,5,18,22351,35915
,,,,CA Total,,,,5,18,22351,35915
,,,Los Angeles Total,,,,,5,18,22351,35915
,,,Merida,Yucatan,Mexico,03/02/2013,$30K - $50K,1,6,5512,5587
,,,,,,03/02/2013 Total,,1,6,5512,5587
,,,,,,02/05/2013,$50K - $70K,1,3,5129,7963
,,,,,,02/05/2013 Total,,1,3,5129,7963
,,,,,,02/06/2013,$90K - $110K,1,4,1050,8835
,,,,,,02/06/2013 Total,,1,4,1050,8835
,,,,,,17/06/2013,$10K - $30K,1,3,10008,9240
,,,,,,17/06/2013 Total,,1,3,10008,9240
,,,,,,02/10/2013,$30K - $50K,1,3,3982,12135
,,,,,,02/10/2013 Total,,1,3,3982,12135
,,,,,,23/10/2013,$30K - $50K,1,5,7221,12690
,,,,,,23/10/2013 Total,,1,5,7221,12690
,,,,,Mexico Total,,,6,24,32902,56450
,,,,Yucatan Total,,,,6,24,32902,56450
,,,Merida Total,,,,,6,24,32902,56450
,,,Mexico City,DF,Mexico,02/07/2013,$10K - $30K,1,4,2273,9627
,,,,,,02/07/2013 Total,,1,4,2273,9627
,,,,,Mexico Total,,,1,4,2273,9627
,,,,DF Total,,,,1,4,2273,9627
,,,Mexico City Total,,,,,1,4,2273,9627
,,,Orizaba,Veracruz,Mexico,18/01/2013,$70K - $90K,1,5,8534,5138
,,,,,,18/01/2013 Total,,1,5,8534,5138
,,,,,,16/03/2013,$70K - $90K,1,5,8534,6718
,,,,,,16/03/2013 Total,,1,5,8534,6718
,,,,,,14/09/2013,$90K - $110K,1,3,10095,11614
,,,,,,14/09/2013 Total,,1,3,10095,11614
,,,,,,16/10/2013,$50K - $70K,1,5,5536,12490
,,,,,,16/10/2013 Total,,1,5,5536,12490
,,,,,Mexico Total,,,4,18,32699,35960
,,,,Veracruz Total,,,,4,18,32699,35960
,,,Orizaba Total,,,,,4,18,32699,35960
,,,Portland,OR,USA,22/05/2012,$30K - $50K,1,5,4608,1822
,,,,,,22/05/2012 Total,,1,5,4608,1822
,,,,,,12/08/2012,$70K - $90K,1,4,4453,2811
,,,,,,12/08/2012 Total,,1,4,4453,2811
,,,,,,12/10/2012,$10K - $30K,1,4,6570,3550
,,,,,,12/10/2012 Total,,1,4,6570,3550
,,,,,,30/10/2012,$150K +,1,4,7624,3761
,,,,,,30/10/2012 Total,,1,4,7624,3761
,,,,,,04/04/2013,$30K - $50K,1,5,983,7206
,,,,,,04/04/2013 Total,,1,5,983,7206
,,,,,,14/04/2013,$10K - $30K,1,5,5834,7466
,,,,,,14/04/2013 Total,,1,5,5834,7466
,,,,,,05/06/2013,$10K - $30K,1,5,8063,8901
,,,,,,05/06/2013 Total,,1,5,8063,8901
,,,,,,11/06/2013,$30K - $50K,1,3,9884,9060
,,,,,,11/06/2013 Total,,1,3,9884,9060
,,,,,,14/08/2013,$10K - $30K,1,5,7361,10795
,,,,,,14/08/2013 Total,,1,5,7361,10795
,,,,,,01/09/2013,$30K - $50K,1,4,2039,11284
,,,,,,01/09/2013 Total,,1,4,2039,11284
,,,,,,16/10/2013,$50K - $70K,1,6,8179,12499
,,,,,,16/10/2013 Total,,1,6,8179,12499
,,,,,,14/11/2013,$70K - $90K,1,6,4219,13324
,,,,,,14/11/2013 Total,,1,6,4219,13324
,,,,,,05/12/2013,$70K - $90K,1,4,9391,13831
,,,,,,05/12/2013 Total,,1,4,9391,13831
,,,,,USA Total,,,13,60,79208,106310
,,,,OR Total,,,,13,60,79208,106310
,,,Portland Total,,,,,13,60,79208,106310
,,,Salem,OR,USA,04/01/2012,$30K - $50K,1,5,3799,51
,,,,,,04/01/2012 Total,,1,5,3799,51
,,,,,,16/01/2012,$50K - $70K,1,5,6021,129
,,,,,,16/01/2012 Total,,1,5,6021,129
,,,,,,04/02/2012,$30K - $50K,1,5,8269,348
,,,,,,04/02/2012 Total,,1,5,8269,348
,,,,,,16/02/2012,$90K - $110K,1,4,5452,486
,,,,,,16/02/2012 Total,,1,4,5452,486
,,,,,,26/07/2012,$10K - $30K,1,3,9648,2597
,,,,,,26/07/2012 Total,,1,3,9648,2597
,,,,,,04/11/2012,$10K - $30K,1,3,9648,3821
,,,,,,04/11/2012 Total,,1,3,9648,3821
,,,,,,20/02/2013,$30K - $50K,1,4,2422,6056
,,,,,,20/02/2013 Total,,1,4,2422,6056
,,,,,,26/02/2013,$10K - $30K,1,5,7149,6243
,,,,,,26/02/2013 Total,,1,5,7149,6243
,,,,,,09/03/2013,$150K +,1,3,10118,6534
,,,,,,09/03/2013 Total,,1,3,10118,6534
,,,,,,08/05/2013,$10K - $30K,1,5,6544,8141
,,,,,,,$130K - $150K,1,3,2468,8142
,,,,,,08/05/2013 Total,,2,8,9012,16283
,,,,,,09/08/2013,$50K - $70K,1,3,154,10676
,,,,,,09/08/2013 Total,,1,3,154,10676
,,,,,,11/09/2013,$10K - $30K,1,3,7182,11531
,,,,,,11/09/2013 Total,,1,3,7182,11531
,,,,,,07/11/2013,$30K - $50K,1,3,9032,13127
,,,,,,07/11/2013 Total,,1,3,9032,13127
,,,,,USA Total,,,14,54,87906,77882
,,,,OR Total,,,,14,54,87906,77882
,,,Salem Total,,,,,14,54,87906,77882
,,,San Andres,DF,Mexico,01/02/2013,$70K - $90K,1,4,8462,5527
,,,,,,01/02/2013 Total,,1,4,8462,5527
,,,,,,11/03/2013,$10K - $30K,1,3,9435,6587
,,,,,,11/03/2013 Total,,1,3,9435,6587
,,,,,,11/07/2013,$70K - $90K,1,5,7074,9875
,,,,,,11/07/2013 Total,,1,5,7074,9875
,,,,,,17/10/2013,$70K - $90K,1,3,5140,12528
,,,,,,17/10/2013 Total,,1,3,5140,12528
,,,,,,24/10/2013,$30K - $50K,1,4,5343,12722
